,algorithm,n,p,out,out_2model,rss,iter,time,intercept,h_size,max_steps,leverage_ratio
206,MOEA-QR-BSA,30,2,0.45,1.0,164.43901267590243,14658,1.4869999885559082,True,17,100,0.2
207,BSA,30,2,0.45,1.0,164.43901267590243,14658,1.4850000143051147,True,17,100,0.2
208,BAB,30,2,0.45,1.0,185.5586701398754,259533,0.4399999976158142,True,17,100,0.2
209,MOEA-QR-BAB,30,2,0.45,1.0,185.5586701398754,952920,1.2869999408721924,True,17,100,0.2
210,MOEA-QR-BSA,30,2,0.45,1.0,185.5586701398754,16268,1.475000023841858,True,17,100,0.2
211,BSA,30,2,0.45,1.0,185.5586701398754,16268,1.475000023841858,True,17,100,0.2
212,BAB,30,2,0.45,1.0,271.74458411976104,214272,0.33899998664855957,True,17,100,0.2
213,MOEA-QR-BAB,30,2,0.45,1.0,271.74458411976104,819611,0.9390000104904175,True,17,100,0.2
214,MOEA-QR-BSA,30,2,0.45,1.0,271.74458411976104,15624,1.4670000076293945,True,17,100,0.2
215,BSA,30,2,0.45,1.0,271.74458411976104,15624,1.465000033378601,True,17,100,0.2
216,BAB,30,2,0.45,1.0,106.11846314013424,99355,0.19200000166893005,True,17,100,0.2
217,MOEA-QR-BAB,30,2,0.45,1.0,106.11846314013424,1211184,1.3639999628067017,True,17,100,0.2
218,MOEA-QR-BSA,30,2,0.45,1.0,106.11846314013412,13496,1.465000033378601,True,17,100,0.2
219,BSA,30,2,0.45,1.0,106.11846314013412,13496,1.465999960899353,True,17,100,0.2
220,BAB,30,2,0.45,1.0,136.88067956252522,158110,0.33399999141693115,True,17,100,0.2
221,MOEA-QR-BAB,30,2,0.45,1.0,136.88067956252522,980177,1.0989999771118164,True,17,100,0.2
222,MOEA-QR-BSA,30,2,0.45,1.0,136.8806795625252,16548,1.4830000400543213,True,17,100,0.2
223,BSA,30,2,0.45,1.0,136.8806795625252,16548,1.4800000190734863,True,17,100,0.2
224,BAB,30,2,0.45,1.0,296.78348776144963,141021,0.22300000488758087,True,17,100,0.2
225,MOEA-QR-BAB,30,2,0.45,1.0,296.78348776144963,1329467,1.590999960899353,True,17,100,0.2
226,MOEA-QR-BSA,30,2,0.45,1.0,296.7834877614495,14826,1.4769999980926514,True,17,100,0.2
227,BSA,30,2,0.45,1.0,296.7834877614495,14826,1.4819999933242798,True,17,100,0.2
228,BAB,30,2,0.45,1.0,56.68798698161099,156129,0.27799999713897705,True,17,100,0.2
229,MOEA-QR-BAB,30,2,0.45,1.0,56.687986981610976,1324947,1.8589999675750732,True,17,100,0.2
